ADR_Term,a (Sema with ADR),b (Sema without ADR),c (SGLT2i with ADR),d (SGLT2i without ADR),ROR,ROR_95%_CI_Lower,ROR_95%_CI_Upper,PRR,Test_Used,Chi2_Stat,P_Value,Signal_Detected
Depressed Mood,520,100392,116,47150,2.1053676484731576,1.721049823647639,2.575505295856502,2.0996716838980225,Chi-square (Yates),54.22921130675495,1.7841473487092025e-13,True
Anxiety,1878,99034,630,46636,1.403757247390747,1.2817713235268056,1.5373525475512302,1.3962432142668388,Chi-square (Yates),53.644654239606346,2.4023648637071766e-13,False
Suicide Attempt,106,100806,74,47192,0.6705885696421974,0.49822186029281695,0.9025879142887772,0.6709345900522371,Chi-square (Yates),6.623473248718805,0.010064337645320531,False
Suicidal Ideation,776,100136,140,47126,2.6085791894452117,2.1782009938001723,3.1239933353142613,2.596209427167093,Chi-square (Yates),116.35068546476452,3.9826268634485644e-27,True
Depression,1730,99182,496,46770,1.6447463639669269,1.4875851024145712,1.8185114904629667,1.6336930580205302,Chi-square (Yates),95.7486019348429,1.3043858256047437e-22,False
Panic Attack,253,100659,27,47239,4.397489801467588,2.956670803717063,6.540436131645169,4.3889718361139005,Chi-square (Yates),62.93950548673646,2.131537511971809e-15,True
Insomnia,1377,99535,672,46594,0.9592213614737098,0.8741371650644327,1.0525872335374924,0.959777808529072,Chi-square (Yates),0.7305493964067901,0.3927051656901004,False
